,destination,arr_time_binned,arr_time,exit_time,total,origin,hist_total
0,Acton Town,17,557,596,1,513,0.5
1,Acton Town,17,557,597,1,513,0.5
2,Aldgate,8,427,434,1,644,1
3,Aldgate,9,436,449,1,644,1
4,Aldgate,11,478,487,1,644,1
5,Aldgate,12,491,498,1,644,1
6,Aldgate,13,509,516,1,644,0.5
7,Aldgate,13,509,516,1,644,0.5
8,Aldgate,14,516,527,1,644,0.25
9,Aldgate,14,516,527,1,644,0.25
10,Aldgate,14,516,527,1,644,0.25
11,Aldgate,14,516,527,1,644,0.25
12,Aldgate,14,516,527,1,644,0.25
13,Aldgate,14,516,527,1,644,0.25
14,Aldgate,14,523,536,1,644,0.25
15,Aldgate,14,516,532,1,513,0.25
16,Aldgate,15,534,548,1,644,2
17,Aldgate,16,542,550,1,644,1
18,Aldgate,18,585,591,1,644,0.5
19,Aldgate,18,583,591,1,644,0.5
20,Aldgate,20,607,632,1,513,1
21,Aldgate,24,662,676,1,513,1
22,Aldgate,26,698,703,1,644,0.5
23,Aldgate,26,704,716,1,644,0.5
24,Aldgate East,5,386,395,1,644,1
25,Aldgate East,6,399,408,1,644,1
26,Aldgate East,7,408,414,1,644,1
27,Aldgate East,8,432,442,1,644,0.5
28,Aldgate East,8,427,438,1,644,0.5
29,Aldgate East,9,439,448,1,644,0.666666667
30,Aldgate East,9,436,444,1,644,0.666666667
31,Aldgate East,9,444,452,1,644,0.666666667
32,Aldgate East,10,459,466,1,644,1
33,Aldgate East,10,455,464,1,644,1
34,Aldgate East,10,459,466,1,644,1
35,Aldgate East,11,472,477,1,644,2
36,Aldgate East,11,471,477,1,644,2
37,Aldgate East,12,484,490,1,644,0.666666667
38,Aldgate East,12,489,497,1,644,0.666666667
39,Aldgate East,12,493,499,1,644,0.666666667
40,Aldgate East,12,483,490,1,644,0.666666667
41,Aldgate East,12,487,494,1,644,0.666666667
42,Aldgate East,12,483,490,1,644,0.666666667
43,Aldgate East,13,501,509,1,644,0.833333333
44,Aldgate East,13,508,519,1,644,0.833333333
45,Aldgate East,13,497,506,1,644,0.833333333
46,Aldgate East,13,500,508,1,644,0.833333333
47,Aldgate East,13,509,518,1,644,0.833333333
48,Aldgate East,13,500,508,1,644,0.833333333
49,Aldgate East,14,517,526,1,644,1
50,Aldgate East,14,516,526,1,644,1
51,Aldgate East,14,521,528,1,644,1
52,Aldgate East,14,525,533,1,644,1
53,Aldgate East,14,524,532,1,644,1
54,Aldgate East,14,523,531,1,644,1
55,Aldgate East,14,521,528,1,644,1
56,Aldgate East,15,535,545,1,644,1.166666667
57,Aldgate East,15,529,538,1,644,1.166666667
58,Aldgate East,15,527,538,1,644,1.166666667
59,Aldgate East,15,537,545,1,644,1.166666667
60,Aldgate East,15,530,538,1,644,1.166666667
61,Aldgate East,15,527,538,1,644,1.166666667
62,Aldgate East,16,545,552,1,644,1
63,Aldgate East,16,549,558,1,644,1
64,Aldgate East,16,548,554,1,644,1
65,Aldgate East,16,547,555,1,644,1
66,Aldgate East,16,544,550,1,644,1
67,Aldgate East,16,548,555,1,644,1
68,Aldgate East,17,557,571,1,644,0.857142857
69,Aldgate East,17,558,571,1,644,0.857142857
70,Aldgate East,17,558,571,1,644,0.857142857
71,Aldgate East,17,565,574,1,644,0.857142857
72,Aldgate East,17,565,574,1,644,0.857142857
73,Aldgate East,17,557,568,1,644,0.857142857
74,Aldgate East,17,556,568,1,644,0.857142857
75,Aldgate East,18,573,580,1,644,1.333333333
76,Aldgate East,18,576,585,1,644,1.333333333
77,Aldgate East,18,577,594,1,644,1.333333333
78,Aldgate East,19,589,597,1,644,1
79,Aldgate East,19,587,594,1,644,1
80,Aldgate East,19,592,604,1,644,1
81,Aldgate East,20,602,613,1,644,1
82,Aldgate East,20,611,620,1,644,1
83,Aldgate East,21,618,627,1,644,1
84,Aldgate East,21,618,627,1,644,1
85,Aldgate East,22,641,648,1,644,0.666666667
86,Aldgate East,22,644,660,1,644,0.666666667
87,Aldgate East,22,631,639,1,644,0.666666667
88,Aldgate East,24,672,679,1,644,1
89,Aldgate East,26,692,698,1,644,0.4
90,Aldgate East,26,693,699,1,644,0.4
91,Aldgate East,26,697,720,1,513,0.4
92,Aldgate East,26,697,720,1,513,0.4
93,Aldgate East,26,699,722,1,513,0.4
94,Aldgate East,27,710,721,1,644,0.4
95,Aldgate East,27,718,725,1,644,0.4
96,Aldgate East,27,706,726,1,513,0.4
97,Aldgate East,27,718,725,1,644,0.4
98,Aldgate East,27,708,722,1,644,0.4
99,Alexandra Palace,27,719,751,1,513,1
100,All Saints,14,522,547,1,644,1
101,All Saints,19,589,606,1,513,1
102,Alperton,27,719,769,1,513,1
103,Angel,5,376,388,1,513,1
104,Angel,8,422,433,1,513,0.5
105,Angel,8,425,438,1,513,0.5
106,Angel,9,440,453,1,513,2
107,Angel,10,452,468,1,513,2
108,Angel,11,472,485,1,513,0.5
109,Angel,11,469,481,1,513,0.5
110,Angel,11,473,490,1,513,0.5
111,Angel,11,474,486,1,513,0.5
112,Angel,12,491,510,1,513,2
113,Angel,12,490,503,1,513,2
114,Angel,13,499,514,1,644,0.833333333
115,Angel,13,501,515,1,513,0.833333333
116,Angel,13,501,517,1,644,0.833333333
117,Angel,13,508,526,1,513,0.833333333
118,Angel,13,505,517,1,644,0.833333333
119,Angel,13,507,524,1,513,0.833333333
120,Angel,14,520,535,1,513,1
121,Angel,14,513,531,1,513,1
122,Angel,14,511,527,1,513,1
123,Angel,14,522,536,1,644,1
124,Angel,14,514,530,1,513,1
125,Angel,14,517,534,1,513,1
126,Angel,14,520,535,1,513,1
127,Angel,15,540,555,1,644,1
128,Angel,15,537,551,1,513,1
129,Angel,15,534,549,1,644,1
130,Angel,15,527,542,1,513,1
131,Angel,16,543,554,1,513,1.666666667
132,Angel,16,546,559,1,513,1.666666667
133,Angel,16,550,563,1,513,1.666666667
134,Angel,17,558,572,1,513,1
135,Angel,17,560,573,1,513,1
136,Angel,17,557,572,1,513,1
137,Angel,17,562,575,1,513,1
138,Angel,18,579,596,1,644,0.75
139,Angel,18,580,596,1,644,0.75
140,Angel,18,580,592,1,513,0.75
141,Angel,18,580,593,1,513,0.75
142,Angel,19,594,611,1,513,1.5
143,Angel,19,589,606,1,513,1.5
144,Angel,20,610,623,1,513,0.666666667
145,Angel,20,604,621,1,513,0.666666667
146,Angel,20,615,631,1,513,0.666666667
147,Angel,21,621,635,1,513,0.6
148,Angel,21,623,635,1,513,0.6
149,Angel,21,626,639,1,513,0.6
