,arr_time,exit_time,destination,total,arr_time_binned,origin
0,334,354,South Quay,1,2,513
1,494,515,South Quay,1,12,513
2,498,519,South Quay,1,13,513
3,512,531,South Quay,1,14,513
4,521,540,South Quay,1,14,513
5,562,583,South Quay,1,17,513
6,563,583,South Quay,1,17,513
7,577,598,South Quay,1,18,513
8,630,649,South Quay,1,21,513
9,641,664,South Quay,1,22,644
10,682,704,South Quay,1,25,513
11,702,726,South Quay,1,26,644
12,702,726,South Quay,1,26,644
13,387,410,South Quay,1,5,513
14,570,590,South Quay,1,17,644
15,562,583,South Quay,1,17,513
16,688,709,South Quay,1,25,513
17,528,548,South Quay,1,15,513
18,498,520,South Quay,1,13,513
19,562,583,South Quay,1,17,513
20,681,699,South Quay,1,25,513
21,694,715,South Quay,1,26,513
22,527,548,South Quay,1,15,513
23,527,548,South Quay,1,15,513
24,377,410,South Quay,1,5,644
25,518,537,South Quay,1,14,513
26,585,602,South Quay,1,18,644
27,319,347,South Quay,1,1,513
28,432,451,South Quay,1,8,513
29,493,511,South Quay,1,12,513
30,562,583,South Quay,1,17,513
31,585,606,South Quay,1,18,513
32,681,699,South Quay,1,25,513
33,699,719,South Quay,1,26,513
34,711,730,South Quay,1,27,644
35,320,347,South Quay,1,1,513
36,571,590,South Quay,1,18,513
37,618,640,South Quay,1,21,644
38,518,537,South Quay,1,14,513
39,577,598,South Quay,1,18,513
40,650,669,South Quay,1,23,644
41,516,536,South Quay,1,14,513
42,409,431,South Quay,1,7,513
43,482,503,South Quay,1,12,513
44,320,347,South Quay,1,1,513
45,692,714,South Quay,1,26,644
46,609,665,South Quay,1,20,644
47,349,368,Bond Street,1,3,513
48,419,433,Bond Street,1,7,513
49,449,464,Bond Street,1,9,513
50,482,497,Bond Street,1,12,513
51,486,499,Bond Street,1,12,513
52,505,518,Bond Street,1,13,513
53,520,536,Bond Street,1,14,513
54,528,542,Bond Street,1,15,513
55,540,553,Bond Street,1,15,513
56,558,570,Bond Street,1,17,513
57,585,599,Bond Street,1,18,513
58,592,605,Bond Street,1,19,513
59,588,604,Bond Street,1,19,513
60,599,611,Bond Street,1,19,513
61,603,618,Bond Street,1,20,513
62,623,636,Bond Street,1,21,513
63,619,633,Bond Street,1,21,513
64,619,633,Bond Street,1,21,513
65,637,651,Bond Street,1,22,513
66,639,652,Bond Street,1,22,513
67,635,651,Bond Street,1,22,513
68,645,658,Bond Street,1,22,513
69,645,658,Bond Street,1,22,513
70,645,658,Bond Street,1,22,513
71,658,672,Bond Street,1,23,513
72,680,692,Bond Street,1,25,513
73,712,724,Bond Street,1,27,513
74,719,731,Bond Street,1,27,513
75,717,731,Bond Street,1,27,513
76,659,671,Bond Street,1,23,513
77,677,690,Bond Street,1,25,513
78,487,501,Bond Street,1,12,513
79,568,582,Bond Street,1,17,513
80,591,605,Bond Street,1,19,513
81,618,634,Bond Street,1,21,513
82,683,697,Bond Street,1,25,513
83,429,445,Bond Street,1,8,513
84,596,609,Bond Street,1,19,513
85,603,617,Bond Street,1,20,513
86,669,682,Bond Street,1,24,513
87,425,440,Bond Street,1,8,513
88,474,495,Bond Street,1,11,644
89,636,655,Bond Street,1,22,644
90,693,707,Bond Street,1,26,513
91,711,724,Bond Street,1,27,513
92,473,486,Bond Street,1,11,513
93,587,599,Bond Street,1,19,513
94,443,459,Bond Street,1,9,513
95,679,693,Bond Street,1,25,513
96,588,605,Bond Street,1,19,513
97,612,623,Bond Street,1,20,513
98,711,723,Bond Street,1,27,513
99,482,497,Bond Street,1,12,513
100,677,690,Bond Street,1,25,513
101,597,612,Bond Street,1,19,513
102,519,540,Bond Street,1,14,513
103,561,575,Bond Street,1,17,513
104,424,440,Bond Street,1,8,513
105,480,495,Bond Street,1,11,513
106,654,666,Bond Street,1,23,513
107,536,551,Bond Street,1,15,513
108,659,672,Bond Street,1,23,513
109,425,440,Bond Street,1,8,513
110,684,697,Bond Street,1,25,513
111,613,634,Bond Street,1,20,644
112,580,594,Bond Street,1,18,513
113,651,664,Bond Street,1,23,513
114,684,700,Bond Street,1,25,513
115,715,729,Bond Street,1,27,513
116,610,629,Bond Street,1,20,513
117,657,669,Bond Street,1,23,513
118,563,581,Bond Street,1,17,513
119,590,605,Bond Street,1,19,513
120,635,648,Bond Street,1,22,513
121,636,652,Bond Street,1,22,513
122,659,672,Bond Street,1,23,513
123,696,709,Bond Street,1,26,513
124,573,586,Bond Street,1,18,513
125,337,359,Bond Street,1,2,513
126,449,464,Bond Street,1,9,513
127,551,563,Bond Street,1,16,513
128,659,672,Bond Street,1,23,513
129,497,512,Bond Street,1,13,513
130,432,444,Bond Street,1,8,513
131,483,503,Bond Street,1,12,644
132,601,614,Bond Street,1,20,513
133,703,717,Bond Street,1,26,513
134,555,567,Bond Street,1,16,513
135,572,586,Bond Street,1,18,513
136,603,618,Bond Street,1,20,513
137,621,634,Bond Street,1,21,513
138,474,485,Bond Street,1,11,513
139,597,611,Bond Street,1,19,513
140,633,648,Bond Street,1,22,513
141,651,664,Bond Street,1,23,513
142,665,681,Bond Street,1,24,513
143,682,697,Bond Street,1,25,513
144,532,547,Bond Street,1,15,513
145,720,734,Bond Street,1,27,513
146,661,674,Bond Street,1,24,513
147,602,618,Bond Street,1,20,513
148,619,633,Bond Street,1,21,513
149,621,634,Bond Street,1,21,513
150,522,538,Bond Street,1,14,513
151,450,464,Bond Street,1,9,513
152,589,604,Bond Street,1,19,513
153,711,724,Bond Street,1,27,513
