,destination,arr_time_binned,arr_time,exit_time,total,hist_total
0,Abbey Road,6,0.0,0.0,0.0,0.0263157894737
1,Abbey Road,7,0.0,0.0,0.0,0.0263157894737
2,Abbey Road,13,0.0,0.0,0.0,0.0263157894737
3,Abbey Road,14,0.0,0.0,0.0,0.0789473684211
4,Abbey Road,27,0.0,0.0,0.0,0.0789473684211
5,Abbey Wood,2,0.0,0.0,0.0,0.0263157894737
6,Abbey Wood,8,0.0,0.0,0.0,0.0263157894737
7,Abbey Wood,21,0.0,0.0,0.0,0.0263157894737
8,Abbey Wood,26,0.0,0.0,0.0,0.0263157894737
9,Acton Central,23,0.0,0.0,0.0,0.0263157894737
10,Acton Central,26,0.0,0.0,0.0,0.0263157894737
11,Acton Town,1,0.0,0.0,0.0,0.0263157894737
12,Acton Town,2,0.0,0.0,0.0,0.0263157894737
13,Acton Town,5,0.0,0.0,0.0,0.0526315789474
14,Acton Town,6,0.0,0.0,0.0,0.236842105263
15,Acton Town,7,0.0,0.0,0.0,0.184210526316
16,Acton Town,8,0.0,0.0,0.0,0.0789473684211
17,Acton Town,9,0.0,0.0,0.0,0.0526315789474
18,Acton Town,10,0.0,0.0,0.0,0.0263157894737
19,Acton Town,11,0.0,0.0,0.0,0.0263157894737
20,Acton Town,12,0.0,0.0,0.0,0.157894736842
21,Acton Town,13,0.0,0.0,0.0,0.105263157895
22,Acton Town,14,0.0,0.0,0.0,0.0263157894737
23,Acton Town,15,0.0,0.0,0.0,0.0526315789474
24,Acton Town,16,0.0,0.0,0.0,0.394736842105
25,Acton Town,17,557.0,596.0,1.0,0.105263157894
26,Acton Town,17,557.0,597.0,1.0,0.105263157894
27,Acton Town,18,0.0,0.0,0.0,0.0263157894737
28,Acton Town,19,0.0,0.0,0.0,0.0526315789474
29,Acton Town,21,0.0,0.0,0.0,0.105263157895
30,Acton Town,22,0.0,0.0,0.0,0.0263157894737
31,Acton Town,23,0.0,0.0,0.0,0.0263157894737
32,Acton Town,25,0.0,0.0,0.0,0.0789473684211
33,Acton Town,27,0.0,0.0,0.0,0.289473684211
34,Aldgate,4,0.0,0.0,0.0,0.0526315789474
35,Aldgate,5,0.0,0.0,0.0,0.0263157894737
36,Aldgate,6,0.0,0.0,0.0,0.0526315789474
37,Aldgate,7,0.0,0.0,0.0,0.105263157895
38,Aldgate,8,427.0,434.0,1.0,0.0789473684211
39,Aldgate,9,436.0,449.0,1.0,0.368421052632
40,Aldgate,10,0.0,0.0,0.0,0.315789473684
41,Aldgate,11,478.0,487.0,1.0,0.210526315789
42,Aldgate,12,491.0,498.0,1.0,0.789473684211
43,Aldgate,13,509.0,516.0,1.0,0.421052631579
44,Aldgate,13,509.0,516.0,1.0,0.421052631579
45,Aldgate,14,516.0,527.0,1.0,0.141447368421
46,Aldgate,14,516.0,527.0,1.0,0.141447368421
47,Aldgate,14,516.0,527.0,1.0,0.141447368421
48,Aldgate,14,516.0,527.0,1.0,0.141447368421
49,Aldgate,14,516.0,527.0,1.0,0.141447368421
50,Aldgate,14,516.0,527.0,1.0,0.141447368421
51,Aldgate,14,523.0,536.0,1.0,0.141447368421
52,Aldgate,14,516.0,532.0,1.0,0.141447368421
53,Aldgate,15,534.0,548.0,1.0,1.47368421053
54,Aldgate,16,542.0,550.0,1.0,0.921052631579
55,Aldgate,17,0.0,0.0,0.0,0.5
56,Aldgate,18,585.0,591.0,1.0,0.157894736842
57,Aldgate,18,583.0,591.0,1.0,0.157894736842
58,Aldgate,19,0.0,0.0,0.0,0.315789473684
59,Aldgate,20,607.0,632.0,1.0,0.184210526316
60,Aldgate,21,0.0,0.0,0.0,0.342105263158
61,Aldgate,22,0.0,0.0,0.0,0.210526315789
62,Aldgate,23,0.0,0.0,0.0,0.342105263158
63,Aldgate,24,662.0,676.0,1.0,0.210526315789
64,Aldgate,25,0.0,0.0,0.0,0.315789473684
65,Aldgate,26,698.0,703.0,1.0,0.197368421053
66,Aldgate,26,704.0,716.0,1.0,0.197368421053
67,Aldgate,27,0.0,0.0,0.0,0.368421052632
68,Aldgate East,1,0.0,0.0,0.0,0.0263157894737
69,Aldgate East,2,0.0,0.0,0.0,0.0526315789474
70,Aldgate East,3,0.0,0.0,0.0,0.0263157894737
71,Aldgate East,4,0.0,0.0,0.0,0.0526315789474
72,Aldgate East,5,386.0,395.0,1.0,0.0789473684211
73,Aldgate East,6,399.0,408.0,1.0,0.184210526316
74,Aldgate East,7,408.0,414.0,1.0,0.5
75,Aldgate East,8,432.0,442.0,1.0,0.46052631579
76,Aldgate East,8,427.0,438.0,1.0,0.46052631579
77,Aldgate East,9,439.0,448.0,1.0,0.61403508772
78,Aldgate East,9,436.0,444.0,1.0,0.61403508772
79,Aldgate East,9,444.0,452.0,1.0,0.61403508772
80,Aldgate East,10,459.0,466.0,1.0,0.798245614037
81,Aldgate East,10,455.0,464.0,1.0,0.798245614037
82,Aldgate East,10,459.0,466.0,1.0,0.798245614037
83,Aldgate East,11,472.0,477.0,1.0,1.6052631579
84,Aldgate East,11,471.0,477.0,1.0,1.6052631579
85,Aldgate East,12,484.0,490.0,1.0,0.600877192982
86,Aldgate East,12,489.0,497.0,1.0,0.600877192982
87,Aldgate East,12,493.0,499.0,1.0,0.600877192982
88,Aldgate East,12,483.0,490.0,1.0,0.600877192982
89,Aldgate East,12,487.0,494.0,1.0,0.600877192982
90,Aldgate East,12,483.0,490.0,1.0,0.600877192982
91,Aldgate East,13,501.0,509.0,1.0,0.675438596492
92,Aldgate East,13,508.0,519.0,1.0,0.675438596492
93,Aldgate East,13,497.0,506.0,1.0,0.675438596492
94,Aldgate East,13,500.0,508.0,1.0,0.675438596492
95,Aldgate East,13,509.0,518.0,1.0,0.675438596492
96,Aldgate East,13,500.0,508.0,1.0,0.675438596492
97,Aldgate East,14,517.0,526.0,1.0,0.894736842106
98,Aldgate East,14,516.0,526.0,1.0,0.894736842106
99,Aldgate East,14,521.0,528.0,1.0,0.894736842106
100,Aldgate East,14,525.0,533.0,1.0,0.894736842106
101,Aldgate East,14,524.0,532.0,1.0,0.894736842106
102,Aldgate East,14,523.0,531.0,1.0,0.894736842106
103,Aldgate East,14,521.0,528.0,1.0,0.894736842106
104,Aldgate East,15,535.0,545.0,1.0,1.13157894737
105,Aldgate East,15,529.0,538.0,1.0,1.13157894737
106,Aldgate East,15,527.0,538.0,1.0,1.13157894737
107,Aldgate East,15,537.0,545.0,1.0,1.13157894737
108,Aldgate East,15,530.0,538.0,1.0,1.13157894737
109,Aldgate East,15,527.0,538.0,1.0,1.13157894737
110,Aldgate East,16,545.0,552.0,1.0,0.934210526315
111,Aldgate East,16,549.0,558.0,1.0,0.934210526315
112,Aldgate East,16,548.0,554.0,1.0,0.934210526315
113,Aldgate East,16,547.0,555.0,1.0,0.934210526315
114,Aldgate East,16,544.0,550.0,1.0,0.934210526315
115,Aldgate East,16,548.0,555.0,1.0,0.934210526315
116,Aldgate East,17,557.0,571.0,1.0,0.774436090226
117,Aldgate East,17,558.0,571.0,1.0,0.774436090226
118,Aldgate East,17,558.0,571.0,1.0,0.774436090226
119,Aldgate East,17,565.0,574.0,1.0,0.774436090226
120,Aldgate East,17,565.0,574.0,1.0,0.774436090226
121,Aldgate East,17,557.0,568.0,1.0,0.774436090226
122,Aldgate East,17,556.0,568.0,1.0,0.774436090226
123,Aldgate East,18,573.0,580.0,1.0,1.22807017544
124,Aldgate East,18,576.0,585.0,1.0,1.22807017544
125,Aldgate East,18,577.0,594.0,1.0,1.22807017544
126,Aldgate East,19,589.0,597.0,1.0,0.88596491228
127,Aldgate East,19,587.0,594.0,1.0,0.88596491228
128,Aldgate East,19,592.0,604.0,1.0,0.88596491228
129,Aldgate East,20,602.0,613.0,1.0,0.855263157895
130,Aldgate East,20,611.0,620.0,1.0,0.855263157895
131,Aldgate East,21,618.0,627.0,1.0,0.605263157895
132,Aldgate East,21,618.0,627.0,1.0,0.605263157895
133,Aldgate East,22,641.0,648.0,1.0,0.40350877193
134,Aldgate East,22,644.0,660.0,1.0,0.40350877193
135,Aldgate East,22,631.0,639.0,1.0,0.40350877193
