,arr_time,exit_time,destination,total,exit_time_binned,destination
0,305,338,Monument,1,2,644
1,323,353,Monument,1,3,644
2,326,353,Monument,1,3,644
3,333,362,Monument,1,4,644
4,323,363,Monument,1,4,644
5,330,351,Monument,1,3,644
6,313,345,Monument,1,2,644
7,329,342,Monument,1,2,644
8,352,364,Monument,1,4,644
9,338,361,Monument,1,4,644
10,345,364,Monument,1,4,644
11,354,380,Monument,1,5,644
12,337,365,Monument,1,4,644
13,357,370,Monument,1,4,644
14,331,370,Monument,1,4,644
15,336,377,Monument,1,5,644
16,336,384,Monument,1,5,644
17,352,376,Monument,1,5,644
18,352,387,Monument,1,5,644
19,368,384,Monument,1,5,644
20,357,389,Monument,1,5,644
21,375,393,Monument,1,6,644
22,352,396,Monument,1,6,644
23,350,382,Monument,1,5,644
24,367,395,Monument,1,6,644
25,354,394,Monument,1,6,644
26,353,401,Monument,1,6,644
27,354,403,Monument,1,6,644
28,381,403,Monument,1,6,644
29,379,402,Monument,1,6,644
30,368,392,Monument,1,6,644
31,383,398,Monument,1,6,644
32,337,396,Monument,1,6,644
33,374,402,Monument,1,6,644
34,370,405,Monument,1,6,644
35,391,405,Monument,1,6,644
36,359,403,Monument,1,6,644
37,364,398,Monument,1,6,644
38,369,403,Monument,1,6,644
39,375,406,Monument,1,7,644
40,385,407,Monument,1,7,644
41,383,406,Monument,1,7,644
42,381,411,Monument,1,7,644
43,369,410,Monument,1,7,644
44,382,408,Monument,1,7,644
45,382,403,Monument,1,6,644
46,379,409,Monument,1,7,644
47,395,407,Monument,1,7,644
48,342,407,Monument,1,7,644
49,383,408,Monument,1,7,644
50,367,410,Monument,1,7,644
51,392,413,Monument,1,7,644
52,375,422,Monument,1,8,644
53,388,407,Monument,1,7,644
54,387,407,Monument,1,7,644
55,397,414,Monument,1,7,644
56,398,415,Monument,1,7,644
57,393,419,Monument,1,7,644
58,400,419,Monument,1,7,644
59,396,415,Monument,1,7,644
60,408,418,Monument,1,7,644
61,399,418,Monument,1,7,644
62,381,421,Monument,1,8,644
63,403,420,Monument,1,7,644
64,411,420,Monument,1,7,644
65,401,419,Monument,1,7,644
66,380,418,Monument,1,7,644
67,391,420,Monument,1,7,644
68,401,420,Monument,1,7,644
69,367,414,Monument,1,7,644
70,387,423,Monument,1,8,644
71,409,424,Monument,1,8,644
72,386,421,Monument,1,8,644
73,409,420,Monument,1,7,644
74,405,421,Monument,1,8,644
75,372,420,Monument,1,7,644
76,399,421,Monument,1,8,644
77,419,424,Monument,1,8,644
78,389,424,Monument,1,8,644
79,398,424,Monument,1,8,644
80,406,424,Monument,1,8,644
81,418,424,Monument,1,8,644
82,392,422,Monument,1,8,644
83,410,424,Monument,1,8,644
84,401,425,Monument,1,8,644
85,383,422,Monument,1,8,644
86,369,427,Monument,1,8,644
87,404,421,Monument,1,8,644
88,382,424,Monument,1,8,644
89,392,428,Monument,1,8,644
90,390,427,Monument,1,8,644
91,398,427,Monument,1,8,644
92,411,427,Monument,1,8,644
93,394,427,Monument,1,8,644
94,415,429,Monument,1,8,644
95,377,425,Monument,1,8,644
96,413,427,Monument,1,8,644
97,407,428,Monument,1,8,644
98,382,426,Monument,1,8,644
99,400,428,Monument,1,8,644
100,395,430,Monument,1,8,644
101,418,431,Monument,1,8,644
102,415,430,Monument,1,8,644
103,411,431,Monument,1,8,644
104,403,433,Monument,1,8,644
105,404,435,Monument,1,8,644
106,380,429,Monument,1,8,644
107,375,431,Monument,1,8,644
108,413,435,Monument,1,8,644
109,409,436,Monument,1,9,644
110,386,436,Monument,1,9,644
111,425,436,Monument,1,9,644
112,400,436,Monument,1,9,644
113,427,438,Monument,1,9,644
114,418,438,Monument,1,9,644
