,observed,hist,median
0,0,0.0,0
1,0,1.0,1
2,24,21.0,25
3,130,120.0,133
4,129,153.0,143
5,291,286.0,287
6,450,502.0,508
7,774,818.0,831
8,800,851.0,778
9,1275,1171.0,1111
10,1475,1567.0,1639
11,2423,2338.0,2260
12,2952,2716.0,2631
13,3144,3330.0,3427
14,3726,3872.0,3941
15,4752,4415.0,4444
16,3434,3529.0,3323
17,2423,2462.0,2188
18,1647,1620.0,1578
19,1134,1227.0,1052
20,824,785.0,642
21,671,641.0,576
22,654,626.0,556
23,565,587.0,447
24,444,460.0,387
25,471,451.0,431
26,465,468.0,372
27,525,512.0,425
