exit_time_binned,origin,total
0,Abbey Wood,0.0263157894737
0,Acton Town,0.0263157894737
0,Balham,0.0526315789474
0,Bank,0.0263157894737
0,Barking,1.07894736842
0,Barkingside,0.289473684211
0,Barons Court,0.0526315789474
0,Beckton,0.0789473684211
0,Beckton Park,0.0789473684211
0,Becontree,0.157894736842
0,Belvedere,0.0263157894737
0,Blackhorse Road,0.0526315789474
0,Blackwall,0.0263157894737
0,Bounds Green,0.184210526316
0,Bow Road,0.0263157894737
0,Buckhurst Hill,0.0526315789474
0,Burnt Oak,0.0526315789474
0,Canning Town,0.815789473684
0,Chesham,0.0263157894737
0,Clapham Common,0.0526315789474
0,Clapham South,0.0526315789474
0,Colliers Wood,1.18421052632
0,Custom House DLR,0.236842105263
0,Cyprus,0.0789473684211
0,Dagenham East,0.552631578947
0,Dagenham Heathway,0.315789473684
0,Debden,0.131578947368
0,Dollis Hill,0.157894736842
0,Ealing Broadway,0.342105263158
0,Earls Court,0.842105263158
0,East Finchley,0.0263157894737
0,East Ham,0.894736842105
0,East India,0.0789473684211
0,East Putney,0.0263157894737
0,Edgware,0.0263157894737
0,Elm Park,0.210526315789
0,Epping,0.184210526316
0,Essex Road,0.184210526316
0,Finsbury Park LU,0.0526315789474
0,Gallions Reach,0.263157894737
0,Gants Hill,0.131578947368
0,Gloucester Road,0.210526315789
0,Greenwich DLR,0.263157894737
0,Hainault,0.710526315789
0,Hammersmith D,0.0526315789474
0,Hatton Cross,0.342105263158
0,Hayes & Harlington,0.0789473684211
0,Heathrow Terminals 123 LU,0.0263157894737
0,High Barnet,0.394736842105
0,Highams Park,0.0263157894737
0,Hounslow Central,0.0263157894737
0,Hounslow West,0.0263157894737
0,Island Gardens,0.0789473684211
0,Kilburn,0.0263157894737
0,Kingston,0.0526315789474
0,Lewisham DLR,0.0526315789474
0,Leytonstone,0.0263157894737
0,Limehouse DLR,0.157894736842
0,Loughton,0.710526315789
0,Morden,1.36842105263
0,Neasden,0.0526315789474
