,origin,exit_time_binned,arr_time,exit_time,total,hist_total
0,Abbey Road,2,0.0,0.0,0.0,0.0263157894737
1,Abbey Road,3,0.0,0.0,0.0,0.131578947368
2,Abbey Road,4,0.0,0.0,0.0,0.157894736842
3,Abbey Road,5,0.0,0.0,0.0,0.157894736842
4,Abbey Road,6,0.0,0.0,0.0,0.0789473684211
5,Abbey Road,7,383.0,407.0,1.0,0.105263157895
6,Abbey Road,8,0.0,0.0,0.0,0.157894736842
7,Abbey Road,9,0.0,0.0,0.0,0.236842105263
8,Abbey Road,10,0.0,0.0,0.0,0.0789473684211
9,Abbey Road,11,0.0,0.0,0.0,0.131578947368
10,Abbey Road,12,0.0,0.0,0.0,0.131578947368
11,Abbey Road,13,0.0,0.0,0.0,0.131578947368
12,Abbey Road,14,0.0,0.0,0.0,0.0263157894737
13,Abbey Road,15,0.0,0.0,0.0,0.0263157894737
14,Abbey Road,16,0.0,0.0,0.0,0.131578947368
15,Abbey Road,17,0.0,0.0,0.0,0.131578947368
16,Abbey Road,18,0.0,0.0,0.0,0.368421052632
17,Abbey Road,19,576.0,599.0,1.0,0.105263157895
18,Abbey Road,20,0.0,0.0,0.0,0.131578947368
19,Abbey Road,21,0.0,0.0,0.0,0.0526315789474
20,Abbey Road,23,0.0,0.0,0.0,0.0263157894737
21,Abbey Road,24,0.0,0.0,0.0,0.0526315789474
22,Abbey Wood,0,0.0,0.0,0.0,0.0263157894737
23,Abbey Wood,2,0.0,0.0,0.0,0.0526315789474
24,Abbey Wood,3,0.0,0.0,0.0,0.0526315789474
25,Abbey Wood,4,0.0,0.0,0.0,0.131578947368
26,Abbey Wood,5,0.0,0.0,0.0,0.0263157894737
27,Abbey Wood,7,0.0,0.0,0.0,0.0526315789474
28,Abbey Wood,11,0.0,0.0,0.0,0.157894736842
29,Abbey Wood,12,0.0,0.0,0.0,0.289473684211
30,Abbey Wood,13,0.0,0.0,0.0,0.157894736842
31,Abbey Wood,14,0.0,0.0,0.0,0.210526315789
32,Abbey Wood,15,0.0,0.0,0.0,0.157894736842
33,Abbey Wood,16,490.0,542.0,1.0,0.105263157895
34,Abbey Wood,17,0.0,0.0,0.0,0.105263157895
35,Abbey Wood,19,0.0,0.0,0.0,0.0263157894737
36,Abbey Wood,20,0.0,0.0,0.0,0.0789473684211
37,Abbey Wood,22,0.0,0.0,0.0,0.0526315789474
38,Abbey Wood,23,0.0,0.0,0.0,0.0526315789474
39,Abbey Wood,24,0.0,0.0,0.0,0.0263157894737
40,Acton Central,7,0.0,0.0,0.0,0.0263157894737
41,Acton Central,8,0.0,0.0,0.0,0.0526315789474
42,Acton Central,9,0.0,0.0,0.0,0.0526315789474
43,Acton Central,10,0.0,0.0,0.0,0.131578947368
44,Acton Central,11,0.0,0.0,0.0,0.447368421053
45,Acton Central,12,0.0,0.0,0.0,0.210526315789
46,Acton Central,13,0.0,0.0,0.0,0.0526315789474
47,Acton Central,15,475.0,534.0,1.0,0.00877192982457
48,Acton Central,15,472.0,537.0,1.0,0.00877192982457
49,Acton Central,15,487.0,540.0,1.0,0.00877192982457
50,Acton Central,17,0.0,0.0,0.0,0.315789473684
51,Acton Central,20,0.0,0.0,0.0,0.0526315789474
52,Acton Central,21,566.0,620.0,1.0,0.0789473684211
53,Acton Town,0,0.0,0.0,0.0,0.0263157894737
54,Acton Town,1,0.0,0.0,0.0,0.184210526316
55,Acton Town,2,289.0,333.0,1.0,0.0526315789474
56,Acton Town,3,0.0,0.0,0.0,0.973684210526
57,Acton Town,4,0.0,0.0,0.0,0.394736842105
