,origin,exit_time_binned,arr_time,exit_time,total,hist_total,disp
0,Abbey Road,2,0.0,0.0,0.0,0.0263157894737,5:30
1,Abbey Road,3,0.0,0.0,0.0,0.131578947368,5:45
2,Abbey Road,4,0.0,0.0,0.0,0.157894736842,6:0
3,Abbey Road,5,0.0,0.0,0.0,0.157894736842,6:15
4,Abbey Road,6,0.0,0.0,0.0,0.0789473684211,6:30
5,Abbey Road,7,383.0,407.0,1.0,0.105263157895,6:45
6,Abbey Road,8,0.0,0.0,0.0,0.157894736842,7:0
7,Abbey Road,9,0.0,0.0,0.0,0.236842105263,7:15
8,Abbey Road,10,0.0,0.0,0.0,0.0789473684211,7:30
9,Abbey Road,11,0.0,0.0,0.0,0.131578947368,7:45
10,Abbey Road,12,0.0,0.0,0.0,0.131578947368,8:0
11,Abbey Road,13,0.0,0.0,0.0,0.131578947368,8:15
12,Abbey Road,14,0.0,0.0,0.0,0.0263157894737,8:30
13,Abbey Road,15,0.0,0.0,0.0,0.0263157894737,8:45
14,Abbey Road,16,0.0,0.0,0.0,0.131578947368,9:0
15,Abbey Road,17,0.0,0.0,0.0,0.131578947368,9:15
16,Abbey Road,18,0.0,0.0,0.0,0.368421052632,9:30
17,Abbey Road,19,576.0,599.0,1.0,0.105263157895,9:45
18,Abbey Road,20,0.0,0.0,0.0,0.131578947368,10:0
19,Abbey Road,21,0.0,0.0,0.0,0.0526315789474,10:15
20,Abbey Road,23,0.0,0.0,0.0,0.0263157894737,10:45
21,Abbey Road,24,0.0,0.0,0.0,0.0526315789474,11:0
22,Abbey Wood,0,0.0,0.0,0.0,0.0263157894737,5:0
23,Abbey Wood,2,0.0,0.0,0.0,0.0526315789474,5:30
24,Abbey Wood,3,0.0,0.0,0.0,0.0526315789474,5:45
25,Abbey Wood,4,0.0,0.0,0.0,0.131578947368,6:0
26,Abbey Wood,5,0.0,0.0,0.0,0.0263157894737,6:15
27,Abbey Wood,7,0.0,0.0,0.0,0.0526315789474,6:45
28,Abbey Wood,11,0.0,0.0,0.0,0.157894736842,7:45
29,Abbey Wood,12,0.0,0.0,0.0,0.289473684211,8:0
30,Abbey Wood,13,0.0,0.0,0.0,0.157894736842,8:15
31,Abbey Wood,14,0.0,0.0,0.0,0.210526315789,8:30
32,Abbey Wood,15,0.0,0.0,0.0,0.157894736842,8:45
33,Abbey Wood,16,490.0,542.0,1.0,0.105263157895,9:0
34,Abbey Wood,17,0.0,0.0,0.0,0.105263157895,9:15
35,Abbey Wood,19,0.0,0.0,0.0,0.0263157894737,9:45
36,Abbey Wood,20,0.0,0.0,0.0,0.0789473684211,10:0
37,Abbey Wood,22,0.0,0.0,0.0,0.0526315789474,10:30
38,Abbey Wood,23,0.0,0.0,0.0,0.0526315789474,10:45
39,Abbey Wood,24,0.0,0.0,0.0,0.0263157894737,11:0
40,Acton Central,7,0.0,0.0,0.0,0.0263157894737,6:45
41,Acton Central,8,0.0,0.0,0.0,0.0526315789474,7:0
42,Acton Central,9,0.0,0.0,0.0,0.0526315789474,7:15
43,Acton Central,10,0.0,0.0,0.0,0.131578947368,7:30
44,Acton Central,11,0.0,0.0,0.0,0.447368421053,7:45
45,Acton Central,12,0.0,0.0,0.0,0.210526315789,8:0
46,Acton Central,13,0.0,0.0,0.0,0.0526315789474,8:15
47,Acton Central,15,475.0,534.0,1.0,0.00877192982457,8:45
