,arr_time,exit_time,origin,total,exit_time_binned,destination
0,305,338,Upney,1,2,644
1,336,377,Upney,1,5,644
2,352,387,Upney,1,5,644
3,392,428,Upney,1,8,644
4,435,468,Upney,1,11,644
5,470,506,Upney,1,13,644
6,495,533,Upney,1,15,644
7,409,439,Upney,1,9,513
8,618,652,Upney,1,23,513
9,480,521,Upney,1,14,644
10,345,379,Upney,1,5,513
11,381,410,Upney,1,7,513
12,470,505,Upney,1,13,513
13,480,520,Upney,1,14,513
14,570,620,Upney,1,21,644
15,473,509,Upney,1,13,644
16,425,458,Upney,1,10,644
17,449,484,Upney,1,12,513
18,556,596,Upney,1,19,513
19,323,353,Canning Town,1,3,644
20,373,406,Canning Town,1,7,513
21,403,430,Canning Town,1,8,513
22,413,438,Canning Town,1,9,513
23,414,440,Canning Town,1,9,644
24,428,449,Canning Town,1,9,513
25,435,464,Canning Town,1,10,513
26,441,467,Canning Town,1,11,644
27,450,474,Canning Town,1,11,513
28,488,514,Canning Town,1,14,644
29,493,518,Canning Town,1,14,513
30,486,518,Canning Town,1,14,513
31,499,523,Canning Town,1,14,513
32,494,525,Canning Town,1,14,513
33,499,526,Canning Town,1,15,513
34,500,527,Canning Town,1,15,513
35,502,530,Canning Town,1,15,513
36,516,538,Canning Town,1,15,513
37,536,560,Canning Town,1,17,644
38,545,567,Canning Town,1,17,513
39,547,568,Canning Town,1,17,513
40,555,579,Canning Town,1,18,513
41,576,601,Canning Town,1,20,644
42,599,622,Canning Town,1,21,513
43,620,642,Canning Town,1,22,644
44,356,383,Canning Town,1,5,644
45,676,701,Canning Town,1,26,644
46,504,529,Canning Town,1,15,513
47,426,449,Canning Town,1,9,513
48,461,481,Canning Town,1,12,513
49,528,552,Canning Town,1,16,513
50,428,449,Canning Town,1,9,513
51,367,405,Canning Town,1,6,513
52,412,440,Canning Town,1,9,644
53,501,526,Canning Town,1,15,513
54,498,527,Canning Town,1,15,513
55,374,407,Canning Town,1,7,644
56,414,440,Canning Town,1,9,513
57,565,586,Canning Town,1,19,513
58,452,475,Canning Town,1,11,513
59,516,538,Canning Town,1,15,644
60,619,640,Canning Town,1,22,513
61,496,527,Canning Town,1,15,513
62,545,569,Canning Town,1,17,513
63,401,426,Canning Town,1,8,513
64,412,439,Canning Town,1,9,513
65,501,531,Canning Town,1,15,513
66,404,428,Canning Town,1,8,513
67,345,369,Canning Town,1,4,513
68,380,413,Canning Town,1,7,513
69,306,338,Canning Town,1,2,513
70,415,442,Canning Town,1,9,513
71,388,416,Canning Town,1,7,513
72,460,481,Canning Town,1,12,513
73,678,700,Canning Town,1,26,513
74,470,498,Canning Town,1,13,513
75,502,533,Canning Town,1,15,644
76,412,437,Canning Town,1,9,513
77,379,416,Canning Town,1,7,513
78,469,490,Canning Town,1,12,513
79,486,513,Canning Town,1,14,513
80,505,531,Canning Town,1,15,513
81,571,593,Canning Town,1,19,513
82,561,585,Canning Town,1,18,644
83,519,543,Canning Town,1,16,513
84,463,489,Canning Town,1,12,513
85,390,417,Canning Town,1,7,513
86,493,518,Canning Town,1,14,513
87,529,551,Canning Town,1,16,513
88,586,610,Canning Town,1,20,513
89,501,525,Canning Town,1,14,513
90,412,437,Canning Town,1,9,513
91,501,531,Canning Town,1,15,513
92,363,382,Canning Town,1,5,644
93,456,479,Canning Town,1,11,513
94,529,552,Canning Town,1,16,513
95,557,578,Canning Town,1,18,513
96,513,542,Canning Town,1,16,513
97,401,426,Canning Town,1,8,513
98,486,513,Canning Town,1,14,513
99,503,531,Canning Town,1,15,644
100,483,507,Canning Town,1,13,644
101,337,360,Canning Town,1,3,644
102,489,515,Canning Town,1,14,513
103,532,554,Canning Town,1,16,513
104,435,466,Canning Town,1,11,513
105,400,423,Canning Town,1,8,513
106,498,527,Canning Town,1,15,513
107,522,547,Canning Town,1,16,513
108,360,385,Canning Town,1,5,513
109,412,438,Canning Town,1,9,513
110,557,578,Canning Town,1,18,513
111,507,533,Canning Town,1,15,513
112,307,344,Canning Town,1,2,513
113,425,449,Canning Town,1,9,513
114,500,525,Canning Town,1,14,644
115,480,507,Canning Town,1,13,513
116,512,539,Canning Town,1,15,513
117,538,562,Canning Town,1,17,513
118,660,691,Canning Town,1,26,513
119,516,538,Canning Town,1,15,513
120,418,441,Canning Town,1,9,513
121,534,558,Canning Town,1,17,513
122,394,424,Canning Town,1,8,513
123,420,440,Canning Town,1,9,513
124,553,577,Canning Town,1,18,513
125,363,387,Canning Town,1,5,513
126,414,438,Canning Town,1,9,513
127,600,622,Canning Town,1,21,644
128,385,415,Canning Town,1,7,513
129,484,508,Canning Town,1,13,513
130,457,479,Canning Town,1,11,644
131,444,465,Canning Town,1,10,513
132,460,481,Canning Town,1,12,513
133,581,603,Canning Town,1,20,513
134,479,507,Canning Town,1,13,513
135,507,533,Canning Town,1,15,513
136,319,350,Colliers Wood,1,3,513
137,364,398,Colliers Wood,1,6,644
138,387,420,Colliers Wood,1,7,513
139,396,427,Colliers Wood,1,8,513
140,406,436,Colliers Wood,1,9,513
141,403,437,Colliers Wood,1,9,644
142,415,447,Colliers Wood,1,9,644
143,422,452,Colliers Wood,1,10,513
144,424,457,Colliers Wood,1,10,513
145,439,471,Colliers Wood,1,11,513
146,447,479,Colliers Wood,1,11,513
147,447,479,Colliers Wood,1,11,513
148,446,479,Colliers Wood,1,11,513
149,448,482,Colliers Wood,1,12,513
150,446,483,Colliers Wood,1,12,644
151,450,483,Colliers Wood,1,12,513
152,451,484,Colliers Wood,1,12,644
153,451,485,Colliers Wood,1,12,513
154,455,488,Colliers Wood,1,12,513
155,457,491,Colliers Wood,1,12,513
156,465,504,Colliers Wood,1,13,513
157,473,508,Colliers Wood,1,13,513
158,473,510,Colliers Wood,1,13,513
159,479,515,Colliers Wood,1,14,644
160,488,526,Colliers Wood,1,15,513
161,489,527,Colliers Wood,1,15,644
162,492,531,Colliers Wood,1,15,644
163,491,532,Colliers Wood,1,15,513
164,489,532,Colliers Wood,1,15,513
165,493,534,Colliers Wood,1,15,513
166,495,534,Colliers Wood,1,15,513
167,493,534,Colliers Wood,1,15,513
168,494,537,Colliers Wood,1,15,513
169,498,541,Colliers Wood,1,16,513
170,508,549,Colliers Wood,1,16,644
171,511,551,Colliers Wood,1,16,513
172,512,553,Colliers Wood,1,16,513
173,518,556,Colliers Wood,1,17,644
