,destination,arr_time_binned,arr_time,exit_time,total,origin,hist_total
0,Acton Town,17,557,596,1,513,0.5
1,Acton Town,17,557,597,1,513,0.5
2,Aldgate,8,427,434,1,644,1
3,Aldgate,9,436,449,1,644,1
4,Aldgate,11,478,487,1,644,1
5,Aldgate,12,491,498,1,644,1
6,Aldgate,13,509,516,1,644,0.5
7,Aldgate,13,509,516,1,644,0.5
8,Aldgate,14,516,527,1,644,0.25
9,Aldgate,14,516,527,1,644,0.25
10,Aldgate,14,516,527,1,644,0.25
11,Aldgate,14,516,527,1,644,0.25
12,Aldgate,14,516,527,1,644,0.25
13,Aldgate,14,516,527,1,644,0.25
14,Aldgate,14,523,536,1,644,0.25
15,Aldgate,14,516,532,1,513,0.25
16,Aldgate,15,534,548,1,644,2
17,Aldgate,16,542,550,1,644,1
18,Aldgate,18,585,591,1,644,0.5
19,Aldgate,18,583,591,1,644,0.5
20,Aldgate,20,607,632,1,513,1
21,Aldgate,24,662,676,1,513,1
22,Aldgate,26,698,703,1,644,0.5
23,Aldgate,26,704,716,1,644,0.5
24,Aldgate East,5,386,395,1,644,1
25,Aldgate East,6,399,408,1,644,1
