arr_time,total,day,origin,destination,exit_time,hist_total
1,1,12-Feb-12,Bank,Victoria,12,4
2,15,12-Feb-12,Bank,Victoria,27,4
3,15,12-Feb-12,Bank,Victoria,18,5
4,18,12-Feb-12,Bank,Victoria,8,6
5,31,12-Feb-12,Bank,Victoria,25,10
6,57,12-Feb-12,Bank,Victoria,10,43
7,96,12-Feb-12,Bank,Victoria,10,67
8,134,12-Feb-12,Bank,Victoria,28,128
9,235,12-Feb-12,Bank,Victoria,25,203
10,291,12-Feb-12,Bank,Victoria,35,282
11,302,12-Feb-12,Bank,Victoria,24,296
12,357,12-Feb-12,Bank,Vauxhall,28,317
13,430,12-Feb-12,Bank,Vauxhall,28,411
14,555,12-Feb-12,Bank,Vauxhall,16,535
15,615,12-Feb-12,Bank,Vauxhall,18,579
16,529,12-Feb-12,Bank,Vauxhall,31,492
17,457,12-Feb-12,Bank,Vauxhall,38,425
18,405,12-Feb-12,Bank,Vauxhall,36,370
19,364,12-Feb-12,Bank,Vauxhall,33,331
20,287,12-Feb-12,Bank,Vauxhall,25,272
21,331,12-Feb-12,Bank,Vauxhall,29,306
22,285,12-Feb-12,Bank,Stratford,24,249
23,338,12-Feb-12,Bank,Whitechapel,31,330
24,285,12-Feb-12,Bank,Whitechapel,48,261
25,336,12-Feb-12,Bank,Stratford,26,318
26,348,12-Feb-12,Bank,Woodford,35,342
27,383,12-Feb-12,Bank,Stratford,38,365
28,419,12-Feb-12,Bank,Stratford,32,402
